,m,Run,Buckets,Density,issues,l_steps,CI2,d,o,n_agents
213,22,4,2,0.3466666666666667,4,1500,True,0.55,0.1,100
214,22,4,2,0.3466666666666667,4,1500,True,0.55,0.1,100
215,22,4,2,0.3466666666666667,4,1500,True,0.55,0.1,100
216,22,4,2,0.3466666666666667,4,1500,True,0.55,0.1,100
217,22,4,2,0.3466666666666667,4,1500,True,0.55,0.1,100
218,22,4,2,0.3466666666666667,4,1500,True,0.55,0.1,100
219,23,4,2,0.35777777777777775,4,1500,True,0.55,0.1,100
220,23,4,2,0.35777777777777775,4,1500,True,0.55,0.1,100
221,22,4,2,0.3466666666666667,4,1500,True,0.55,0.1,100
222,23,4,3,0.35777777777777775,4,1500,True,0.55,0.1,100
223,23,4,2,0.35777777777777775,4,1500,True,0.55,0.1,100
211,22,4,3,0.3466666666666667,4,1500,True,0.55,0.1,100
224,23,4,2,0.35777777777777775,4,1500,True,0.55,0.1,100
226,23,4,2,0.35777777777777775,4,1500,True,0.55,0.1,100
227,23,4,2,0.35777777777777775,4,1500,True,0.55,0.1,100
228,23,4,2,0.35777777777777775,4,1500,True,0.55,0.1,100
229,24,4,3,0.36848484848484847,4,1500,True,0.55,0.1,100
230,23,4,2,0.35777777777777775,4,1500,True,0.55,0.1,100
231,24,4,2,0.36848484848484847,4,1500,True,0.55,0.1,100
232,24,4,3,0.36848484848484847,4,1500,True,0.55,0.1,100
233,24,4,2,0.36848484848484847,4,1500,True,0.55,0.1,100
234,24,4,2,0.36848484848484847,4,1500,True,0.55,0.1,100
235,24,4,2,0.36848484848484847,4,1500,True,0.55,0.1,100
236,24,4,2,0.36848484848484847,4,1500,True,0.55,0.1,100
237,24,4,2,0.36848484848484847,4,1500,True,0.55,0.1,100
225,23,4,2,0.35777777777777775,4,1500,True,0.55,0.1,100
180,19,4,2,0.3109090909090909,4,1500,True,0.55,0.1,100
210,21,4,2,0.33515151515151514,4,1500,True,0.55,0.1,100
208,21,4,2,0.33515151515151514,4,1500,True,0.55,0.1,100
182,19,4,2,0.3109090909090909,4,1500,True,0.55,0.1,100
183,19,4,2,0.3109090909090909,4,1500,True,0.55,0.1,100
184,19,4,2,0.3109090909090909,4,1500,True,0.55,0.1,100
185,19,4,2,0.3109090909090909,4,1500,True,0.55,0.1,100
186,19,4,2,0.3109090909090909,4,1500,True,0.55,0.1,100
187,19,4,3,0.3109090909090909,4,1500,True,0.55,0.1,100
188,20,4,2,0.32323232323232326,4,1500,True,0.55,0.1,100
189,19,4,2,0.3109090909090909,4,1500,True,0.55,0.1,100
190,19,4,2,0.3109090909090909,4,1500,True,0.55,0.1,100
191,20,4,3,0.32323232323232326,4,1500,True,0.55,0.1,100
192,20,4,2,0.32323232323232326,4,1500,True,0.55,0.1,100
193,20,4,2,0.32323232323232326,4,1500,True,0.55,0.1,100
209,22,4,2,0.3466666666666667,4,1500,True,0.55,0.1,100
194,20,4,2,0.32323232323232326,4,1500,True,0.55,0.1,100
196,20,4,2,0.32323232323232326,4,1500,True,0.55,0.1,100
197,20,4,2,0.32323232323232326,4,1500,True,0.55,0.1,100
198,20,4,2,0.32323232323232326,4,1500,True,0.55,0.1,100
199,20,4,2,0.32323232323232326,4,1500,True,0.55,0.1,100
200,21,4,2,0.33515151515151514,4,1500,True,0.55,0.1,100
