,k,p,Run,Buckets,Density,issues,l_steps,CI2,d,o,n_agents
906,32,0.15000000000000002,4,2,0.32323232323232326,4,1500,True,0.55,0.1,100
907,32,0.15000000000000002,4,2,0.32323232323232326,4,1500,True,0.55,0.1,100
924,32,0.5500000000000002,4,2,0.32323232323232326,4,1500,True,0.55,0.1,100
923,32,0.45000000000000007,4,2,0.32323232323232326,4,1500,True,0.55,0.1,100
922,32,0.45000000000000007,4,2,0.32323232323232326,4,1500,True,0.55,0.1,100
921,32,0.35000000000000003,4,2,0.32323232323232326,4,1500,True,0.55,0.1,100
920,32,0.45000000000000007,4,2,0.32323232323232326,4,1500,True,0.55,0.1,100
919,32,0.35000000000000003,4,2,0.32323232323232326,4,1500,True,0.55,0.1,100
918,32,0.45000000000000007,4,2,0.32323232323232326,4,1500,True,0.55,0.1,100
917,32,0.35000000000000003,4,2,0.32323232323232326,4,1500,True,0.55,0.1,100
916,32,0.35000000000000003,4,2,0.32323232323232326,4,1500,True,0.55,0.1,100
915,32,0.35000000000000003,4,2,0.32323232323232326,4,1500,True,0.55,0.1,100
914,32,0.25000000000000006,4,2,0.32323232323232326,4,1500,True,0.55,0.1,100
913,32,0.25000000000000006,4,2,0.32323232323232326,4,1500,True,0.55,0.1,100
912,32,0.25000000000000006,4,2,0.32323232323232326,4,1500,True,0.55,0.1,100
911,32,0.25000000000000006,4,2,0.32323232323232326,4,1500,True,0.55,0.1,100
910,32,0.25000000000000006,4,2,0.32323232323232326,4,1500,True,0.55,0.1,100
909,32,0.05,4,2,0.32323232323232326,4,1500,True,0.55,0.1,100
908,32,0.15000000000000002,4,2,0.32323232323232326,4,1500,True,0.55,0.1,100
807,28,0.5500000000000002,4,2,0.2828282828282828,4,1500,True,0.55,0.1,100
965,34,0.15000000000000002,4,2,0.3434343434343434,4,1500,True,0.55,0.1,100
806,29,0.05,4,2,0.2828282828282828,4,1500,True,0.55,0.1,100
804,28,0.45000000000000007,4,2,0.2828282828282828,4,1500,True,0.55,0.1,100
702,25,0.05,4,33,0.24242424242424243,4,1500,True,0.55,0.1,100
701,25,0.25000000000000006,4,3,0.24242424242424243,4,1500,True,0.55,0.1,100
700,25,0.25000000000000006,4,2,0.24242424242424243,4,1500,True,0.55,0.1,100
699,25,0.25000000000000006,4,2,0.24242424242424243,4,1500,True,0.55,0.1,100
698,25,0.25000000000000006,4,3,0.24242424242424243,4,1500,True,0.55,0.1,100
697,25,0.15000000000000002,4,2,0.24242424242424243,4,1500,True,0.55,0.1,100
696,25,0.25000000000000006,4,2,0.24242424242424243,4,1500,True,0.55,0.1,100
703,25,0.05,4,49,0.24242424242424243,4,1500,True,0.55,0.1,100
695,25,0.15000000000000002,4,2,0.24242424242424243,4,1500,True,0.55,0.1,100
693,25,0.15000000000000002,4,2,0.24242424242424243,4,1500,True,0.55,0.1,100
692,25,0.15000000000000002,4,2,0.24242424242424243,4,1500,True,0.55,0.1,100
691,25,0.05,4,2,0.24242424242424243,4,1500,True,0.55,0.1,100
690,25,0.05,4,3,0.24242424242424243,4,1500,True,0.55,0.1,100
689,24,0.5500000000000002,4,2,0.24242424242424243,4,1500,True,0.55,0.1,100
688,24,0.45000000000000007,4,2,0.24242424242424243,4,1500,True,0.55,0.1,100
687,24,0.5500000000000002,4,2,0.24242424242424243,4,1500,True,0.55,0.1,100
694,25,0.15000000000000002,4,2,0.24242424242424243,4,1500,True,0.55,0.1,100
686,24,0.5500000000000002,4,2,0.24242424242424243,4,1500,True,0.55,0.1,100
704,25,0.05,4,32,0.24242424242424243,4,1500,True,0.55,0.1,100
706,25,0.35000000000000003,4,2,0.24242424242424243,4,1500,True,0.55,0.1,100
722,26,0.05,4,2,0.26262626262626265,4,1500,True,0.55,0.1,100
721,26,0.05,4,3,0.26262626262626265,4,1500,True,0.55,0.1,100
720,26,0.05,4,3,0.26262626262626265,4,1500,True,0.55,0.1,100
719,25,0.45000000000000007,4,2,0.24242424242424243,4,1500,True,0.55,0.1,100
718,25,0.5500000000000002,4,2,0.24242424242424243,4,1500,True,0.55,0.1,100
717,25,0.5500000000000002,4,2,0.24242424242424243,4,1500,True,0.55,0.1,100
716,25,0.5500000000000002,4,2,0.24242424242424243,4,1500,True,0.55,0.1,100
705,25,0.35000000000000003,4,2,0.24242424242424243,4,1500,True,0.55,0.1,100
715,25,0.5500000000000002,4,2,0.24242424242424243,4,1500,True,0.55,0.1,100
713,25,0.45000000000000007,4,2,0.24242424242424243,4,1500,True,0.55,0.1,100
712,25,0.45000000000000007,4,2,0.24242424242424243,4,1500,True,0.55,0.1,100
711,25,0.45000000000000007,4,2,0.24242424242424243,4,1500,True,0.55,0.1,100
710,25,0.45000000000000007,4,2,0.24242424242424243,4,1500,True,0.55,0.1,100
709,25,0.35000000000000003,4,2,0.24242424242424243,4,1500,True,0.55,0.1,100
708,25,0.35000000000000003,4,2,0.24242424242424243,4,1500,True,0.55,0.1,100
707,25,0.35000000000000003,4,3,0.24242424242424243,4,1500,True,0.55,0.1,100
714,25,0.5500000000000002,4,2,0.24242424242424243,4,1500,True,0.55,0.1,100
723,26,0.05,4,2,0.26262626262626265,4,1500,True,0.55,0.1,100
685,24,0.45000000000000007,4,2,0.24242424242424243,4,1500,True,0.55,0.1,100
683,24,0.5500000000000002,4,2,0.24242424242424243,4,1500,True,0.55,0.1,100
662,24,0.05,4,2,0.24242424242424243,4,1500,True,0.55,0.1,100
661,24,0.15000000000000002,4,2,0.24242424242424243,4,1500,True,0.55,0.1,100
660,24,0.05,4,2,0.24242424242424243,4,1500,True,0.55,0.1,100
659,23,0.5500000000000002,4,2,0.2222222222222222,4,1500,True,0.55,0.1,100
658,23,0.5500000000000002,4,2,0.2222222222222222,4,1500,True,0.55,0.1,100
657,23,0.5500000000000002,4,2,0.2222222222222222,4,1500,True,0.55,0.1,100
656,23,0.5500000000000002,4,2,0.2222222222222222,4,1500,True,0.55,0.1,100
663,24,0.05,4,2,0.24242424242424243,4,1500,True,0.55,0.1,100
655,23,0.5500000000000002,4,2,0.2222222222222222,4,1500,True,0.55,0.1,100
653,23,0.45000000000000007,4,2,0.2222222222222222,4,1500,True,0.55,0.1,100
652,23,0.35000000000000003,4,2,0.2222222222222222,4,1500,True,0.55,0.1,100
651,23,0.35000000000000003,4,2,0.2222222222222222,4,1500,True,0.55,0.1,100
650,23,0.45000000000000007,4,2,0.2222222222222222,4,1500,True,0.55,0.1,100
649,23,0.45000000000000007,4,2,0.2222222222222222,4,1500,True,0.55,0.1,100
648,23,0.45000000000000007,4,2,0.2222222222222222,4,1500,True,0.55,0.1,100
647,23,0.35000000000000003,4,2,0.2222222222222222,4,1500,True,0.55,0.1,100
654,23,0.45000000000000007,4,2,0.2222222222222222,4,1500,True,0.55,0.1,100
684,24,0.5500000000000002,4,2,0.24242424242424243,4,1500,True,0.55,0.1,100
